Date,Open,High,Low,Close,Adj Close,Volume
2018-01-17,87.349998,90.900002,87.349998,90.570000,90.570000,1677300
2018-01-18,90.970001,92.099998,90.330002,91.430000,91.430000,1148700
2018-01-19,91.629997,91.900002,89.769997,89.940002,89.940002,1212400
2018-01-22,90.139999,91.529999,89.680000,91.410004,91.410004,749600
2018-01-23,91.180000,92.989998,91.180000,92.419998,92.419998,838600
2018-01-24,92.699997,93.680000,91.690002,92.160004,92.160004,1648000
2018-01-25,93.000000,93.230003,91.440002,91.849998,91.849998,878500
2018-01-26,92.790001,93.099998,91.870003,92.470001,92.470001,1221800
2018-01-29,92.949997,93.180000,91.120003,91.510002,91.510002,852000
2018-01-30,90.400002,91.550003,89.370003,90.790001,90.790001,1324900
2018-01-31,91.959999,93.059998,91.470001,92.370003,92.370003,1200400
2018-02-01,92.309998,92.809998,91.010002,92.349998,92.349998,1801300
2018-02-02,92.250000,92.540001,90.769997,91.230003,91.230003,1224300
2018-02-05,90.110001,93.089996,87.260002,89.589996,89.589996,2054000
2018-02-06,87.089996,91.180000,86.320000,88.919998,88.919998,2451100
2018-02-07,88.639999,90.889999,88.010002,89.110001,89.110001,1541100
2018-02-08,89.599998,90.209999,85.389999,85.940002,85.940002,2140000
2018-02-09,86.500000,88.669998,82.629997,86.830002,86.830002,2186200
2018-02-12,87.620003,89.599998,87.199997,88.680000,88.680000,1149900
2018-02-13,88.239998,89.820000,88.089996,88.779999,88.779999,1075100
2018-02-14,88.690002,92.949997,88.360001,92.349998,92.349998,2349300
2018-02-15,93.029999,97.269997,92.779999,96.349998,96.349998,2710700
2018-02-16,95.889999,96.000000,92.570000,92.639999,92.639999,2278400
2018-02-20,92.269997,94.900002,92.029999,93.680000,93.680000,1525100
2018-02-21,93.839996,95.089996,92.809998,92.849998,92.849998,1790800
2018-02-22,92.860001,94.639999,92.739998,93.209999,93.209999,659100
2018-02-23,94.080002,95.160004,93.500000,95.120003,95.120003,620500
2018-02-26,96.010002,96.360001,93.430000,94.690002,94.690002,1476900
2018-02-27,94.459999,94.949997,93.580002,93.739998,93.739998,1943400
2018-02-28,93.860001,95.510002,93.129997,93.199997,93.199997,1646700
2018-03-01,94.019997,94.760002,92.019997,93.639999,93.639999,2685900
2018-03-02,98.010002,102.610001,95.500000,102.320000,102.320000,6727900
2018-03-05,101.220001,102.800003,99.820000,101.370003,101.370003,3849400
