,Date,Open,High,Low,Close,Adj Close,Volume,Day,Month,Year,Predicted using Facebook model,Predicted using Intel model,Predicted using Microsoft model,Predicted using Google model,Predicted using Apple model
107,2014-12-11,59.950001,61.540001000000004,56.98,57.259997999999996,57.259997999999996,3182300,11,12,2014,59.1474101364343,58.92997559872357,59.08903528920436,58.902591003623016,59.50434565130422
108,2014-12-12,56.240002000000004,57.07,55.400002,55.77,55.77,2376300,12,12,2014,56.19292324409784,56.222991942716135,56.305664648478825,56.32571463029716,56.68129478767027
109,2014-12-15,56.509997999999996,56.959998999999996,54.189999,54.869999,54.869999,2232100,15,12,2014,55.16779261525417,55.072641244451916,55.121324786692966,55.04136622174533,55.56634060397336
110,2014-12-16,54.220001,55.759997999999996,53.540001000000004,53.75,53.75,2264600,16,12,2014,54.83716281526776,54.87957906689484,55.03979124343681,54.902077356512756,55.35361941038316
111,2014-12-17,53.900002,57.0,53.900002,56.619999,56.619999,1837000,17,12,2014,56.238901363315904,56.303093062630666,56.62489987308304,56.459302499991885,56.8185705395378
112,2014-12-18,57.77,59.66,57.540001000000004,59.189999,59.189999,2476400,18,12,2014,58.97260909015583,59.0357450248426,59.23017680263253,58.98311921300628,59.49054286773301
113,2014-12-19,59.360001000000004,62.23,59.25,61.610001000000004,61.610001000000004,2563800,19,12,2014,61.44720025597991,61.486995398489,61.78168592211472,61.43475472876424,61.973610910209146
114,2014-12-22,61.389998999999996,62.200001,60.66,61.450001,61.450001,1495200,22,12,2014,61.37056001959505,61.41070963707814,61.498759314700706,61.33643986316352,61.82223048645574
115,2014-12-23,61.759997999999996,62.799999,61.459998999999996,61.599998,61.599998,1337900,23,12,2014,62.20816803837212,62.28325387350364,62.39530688513466,62.22578067706715,62.683480620117905
116,2014-12-24,61.560001,62.119999,61.259997999999996,61.490002000000004,61.490002000000004,499200,24,12,2014,61.607995427928415,61.70086732766286,61.76684520513078,61.73727312263169,62.081499156362966
117,2014-12-26,61.630001,64.0,61.029999,62.98,62.98,1163700,26,12,2014,62.96040643715045,62.97367888549378,63.22606028475394,62.899129928353815,63.437461176607485
118,2014-12-29,62.82,63.119999,60.98,61.700001,61.700001,739700,29,12,2014,61.626922323840574,61.585130090496136,61.62951915599683,61.35501229435229,61.99741653976457
119,2014-12-30,61.080002,61.220001,59.220001,59.77,59.77,926800,30,12,2014,59.73265036883717,59.70417392644117,59.73343960611204,59.397141963783746,60.10883934960461
120,2014-12-31,60.09,60.740002000000004,58.869999,58.950001,58.950001,891900,31,12,2014,59.57380147953282,59.5982787518525,59.68046284576877,59.30387405857627,59.99740150173952
121,2015-01-02,59.310001,59.950001,57.279999,58.790001000000004,58.790001000000004,960700,2,1,2015,58.51995001432556,58.259404988566736,58.39326218563875,60.00268871326619,58.804828738503105
122,2015-01-05,58.279999,59.169998,56.040001000000004,56.84,56.84,2104700,5,1,2015,57.542402806748015,57.265724182382435,57.42544858944714,58.706699909832174,57.81538799265675
123,2015-01-06,57.139998999999996,57.450001,53.779999,55.779999,55.779999,2021400,6,1,2015,55.18334460235286,54.82413825506526,54.92773781406093,56.18775553493601,55.39454711436585
124,2015-01-07,57.099998,57.57,55.330002,56.25,56.25,1327500,7,1,2015,56.312336308650174,56.10367376585042,56.22394468387398,57.608239662361456,56.61442938501139
125,2015-01-08,56.869999,58.540001000000004,56.330002,58.450001,58.450001,1437100,8,1,2015,57.86983379179634,57.746381121251204,57.98873933671182,59.286384093808884,58.25520258160755
126,2015-01-09,58.52,58.970001,56.59,57.639998999999996,57.639998999999996,1323300,9,1,2015,57.60677512774231,57.381297139338685,57.500577894865756,58.814193276520065,57.88782958644234
127,2015-01-12,57.439999,57.650002,56.209998999999996,57.099998,57.099998,1071200,12,1,2015,56.77190127036181,56.63292261069124,56.73016080461349,58.015789806598995,57.0917160828041
128,2015-01-13,57.740002000000004,59.59,56.18,57.310001,57.310001,1241800,13,1,2015,58.19957092250982,57.97991001359064,58.246560890480694,59.36595807297037,58.5217306981762
129,2015-01-14,55.919998,57.259997999999996,55.099998,57.0,57.0,1265900,14,1,2015,56.435750004949,56.31351519437157,56.52830514092621,57.656075258635205,56.80066283635013
130,2015-01-15,56.98,57.490002000000004,53.919998,54.169998,54.169998,1420700,15,1,2015,55.344053800225225,55.02892774823279,55.161734039607225,56.210958240477346,55.567194748741215
131,2015-01-16,54.049999,55.68,53.849998,55.279999,55.279999,1362100,16,1,2015,55.196018367242885,55.13787683176445,55.383943055911345,56.424008940072085,55.60772750895086
132,2015-01-20,55.34,55.48,53.77,54.939999,54.939999,910300,20,1,2015,54.34970361114526,54.20818859518938,54.306977725827224,55.33330111109437,54.65470934313545
133,2015-01-21,54.669998,56.169998,54.02,55.650002,55.650002,1599800,21,1,2015,55.39452593222393,55.30559504198113,55.54205289179619,56.36083523126375,55.767851550363915
134,2015-01-22,56.029999,56.43,54.330002,55.939999,55.939999,1321300,22,1,2015,55.16194043799993,55.001389256252786,55.12719761588356,55.9936868500217,55.45394470001149
135,2015-01-23,55.66,57.52,55.450001,56.889998999999996,56.889998999999996,1160500,23,1,2015,56.96282835613633,56.90524327004238,57.18031139490097,58.00059230581797,57.35857034814259
136,2015-01-26,56.900002,57.27,55.66,56.740002000000004,56.740002000000004,1132700,26,1,2015,56.29410645799314,56.18380702190882,56.30905818050256,57.085292221474944,56.60032358948639
